Bond_length_ang,STO-2G_Energy
0.3,-0.5524725795
0.31,-0.5979040649
0.32,-0.6396350872
0.33,-0.678004168
0.34,-0.7133113998
0.35,-0.7458238452
0.36,-0.7757800333
0.37,-0.8033937261
0.38,-0.8288570892
0.39,-0.852343375
0.4,-0.8740092033
0.41,-0.8939965097
0.42,-0.912434217
0.43,-0.9294396754
0.44,-0.9451199078
0.45,-0.9595726928
0.46,-0.9728875079
0.47,-0.9851463564
0.48,-0.9964244929
0.49,-1.0067910643
0.5,-1.0163096758
0.51,-1.0250388952
0.52,-1.0330327008
0.53,-1.0403408827
0.54,-1.0470094025
0.55,-1.053080717
0.56,-1.0585940701
0.57,-1.063585757
0.58,-1.0680893636
0.59,-1.072135985
0.6,-1.0757544236
0.61,-1.0789713708
0.62,-1.0818115735
0.63,-1.0842979857
0.64,-1.0864519094
0.65,-1.0882931228
0.66,-1.0898399991
0.67,-1.0911096161
0.68,-1.0921178569
0.69,-1.0928795038
0.7,-1.0934083243
0.71,-1.0937171508
0.72,-1.0938179548
0.73,-1.0937219151
0.74,-1.0934394813
0.75,-1.092980432
0.76,-1.092353929
0.77,-1.0915685675
0.78,-1.0906324224
0.79,-1.0895530904
0.8,-1.08833773
0.81,-1.0869930973
0.82,-1.0855255795
0.83,-1.0839412251
0.84,-1.0822457725
0.85,-1.0804446752
0.86,-1.0785431257
0.87,-1.0765460762
0.88,-1.0744582586
0.89,-1.0722842019
0.9,-1.0700282481
0.91,-1.0676945667
0.92,-1.0652871673
0.93,-1.0628099116
0.94,-1.0602665234
0.95,-1.057660598
0.96,-1.0549956103
0.97,-1.0522749217
0.98,-1.0495017868
0.99,-1.0466793585
1.0,-1.0438106932
1.01,-1.0408987545
1.02,-1.0379464169
1.03,-1.0349564688
1.04,-1.0319316152
1.05,-1.0288744796
1.06,-1.0257876058
1.07,-1.0226734594
1.08,-1.0195344294
1.09,-1.0163728286
1.1,-1.013190895
1.11,-1.0099907921
1.12,-1.0067746097
1.13,-1.0035443645
1.14,-1.0003020003
1.15,-0.9970493887
1.16,-0.9937883296
1.17,-0.9905205515
1.18,-0.987247712
1.19,-0.9839713984
1.2,-0.9806931285
1.21,-0.977414351
