Molecule,Basis_Set,r_e (Angstrom),E_min (Hartree),E_dissociation (Hartree),D_e (Hartree)
H2,STO-2G,0.72,-1.0938179548,-0.6299575795,0.4638603753
H2,STO-3G,0.71,-1.1175007754,-0.6560482668,0.4614525086
H2,STO-4G,0.71,-1.1239698556,-0.663033022,0.46093683359999993
H2,STO-5G,0.71,-1.1256569005,-0.6650173756,0.46063952489999993
H2,STO-6G,0.71,-1.1262160719,-0.6656565223,0.4605595496
HeH+,STO-2G,0.91,-2.7653213184,-2.7022101536,0.06311116480000001
HeH+,STO-3G,0.93,-2.8543685572,-2.8078348772,0.04653368000000002
HeH+,STO-4G,0.94,-2.8782373367,-2.8357714851,0.042465851599999827
HeH+,STO-5G,0.94,-2.8851020847,-2.8438120187,0.04129006600000018
HeH+,STO-6G,0.94,-2.8872796918,-2.8463328556,0.040946836199999836
