Bond_length_ang,STO-3G_Energy
0.3,-0.5938276577
0.31,-0.6377026249
0.32,-0.6779840356
0.33,-0.7150098272
0.34,-0.7490785432
0.35,-0.7804548246
0.36,-0.8093740055
0.37,-0.8360459785
0.38,-0.8606584673
0.39,-0.8833798094
0.4,-0.9043613349
0.41,-0.9237394099
0.42,-0.941637198
0.43,-0.9581661852
0.44,-0.973427505
0.45,-0.9875130929
0.46,-1.0005066962
0.47,-1.012484758
0.48,-1.0235171944
0.49,-1.0336680781
0.5,-1.0429962417
0.51,-1.0515558092
0.52,-1.0593966676
0.53,-1.0665648825
0.54,-1.073103068
0.55,-1.0790507133
0.56,-1.0844444733
0.57,-1.0893184269
0.58,-1.0937043054
0.59,-1.0976316969
0.6,-1.1011282278
0.61,-1.1042197239
0.62,-1.1069303555
0.63,-1.1092827655
0.64,-1.1112981854
0.65,-1.1129965383
0.66,-1.1143965324
0.67,-1.1155157445
0.68,-1.1163706961
0.69,-1.1169769222
0.7,-1.1173490337
0.71,-1.1175007754
0.72,-1.1174450782
0.73,-1.117194108
0.74,-1.1167593103
0.75,-1.1161514528
0.76,-1.1153806641
0.77,-1.1144564706
0.78,-1.113387831
0.79,-1.1121831694
0.8,-1.1108504057
0.81,-1.1093969854
0.82,-1.1078299073
0.83,-1.1061557502
0.84,-1.1043806985
0.85,-1.102510566
0.86,-1.100550819
0.87,-1.0985065985
0.88,-1.096382741
0.89,-1.0941837983
0.9,-1.0919140563
0.91,-1.0895775535
0.92,-1.087178097
0.93,-1.0847192794
0.94,-1.0822044935
0.95,-1.0796369464
0.96,-1.0770196733
0.97,-1.0743555494
0.98,-1.071647302
0.99,-1.0688975213
1.0,-1.06610867
1.01,-1.0632830935
1.02,-1.0604230276
1.03,-1.0575306071
1.04,-1.0546078729
1.05,-1.0516567786
1.06,-1.0486791966
1.07,-1.0456769239
1.08,-1.0426516868
1.09,-1.039605146
1.1,-1.0365389
1.11,-1.0334544897
1.12,-1.0303534012
1.13,-1.0272370691
1.14,-1.024106879
1.15,-1.0209641703
1.16,-1.0178102381
1.17,-1.0146463352
1.18,-1.0114736742
1.19,-1.0082934287
1.2,-1.0051067348
1.21,-1.0019146927
1.22,-0.9987183676
1.23,-0.9955187908
1.24,-0.9923169606
1.25,-0.9891138436
1.26,-0.9859103752
1.27,-0.9827074602
1.28,-0.9795059742
1.29,-0.9763067635
1.3,-0.9731106464
1.31,-0.9699184136
1.32,-0.9667308287
1.33,-0.9635486291
1.34,-0.9603725263
1.35,-0.9572032066
1.36,-0.9540413318
1.37,-0.9508875397
1.38,-0.9477424443
1.39,-0.9446066371
1.4,-0.9414806869
1.41,-0.938365141
1.42,-0.9352605251
1.43,-0.9321673443
1.44,-0.9290860837
1.45,-0.9260172085
1.46,-0.9229611648
1.47,-0.9199183802
1.48,-0.9168892641
1.49,-0.9138742083
1.5,-0.9108735877
1.51,-0.9078877603
1.52,-0.9049170682
1.53,-0.9019618378
1.54,-0.8990223801
1.55,-0.8960989916
1.56,-0.8931919545
1.57,-0.8903015368
1.58,-0.8874279934
1.59,-0.8845715659
1.6,-0.8817324833
1.61,-0.8789109623
1.62,-0.8761072076
1.63,-0.8733214124
1.64,-0.8705537586
1.65,-0.8678044173
1.66,-0.8650735489
1.67,-0.8623613036
1.68,-0.8596678216
1.69,-0.8569932333
1.7,-0.8543376601
1.71,-0.8517012137
1.72,-0.8490839973
1.73,-0.8464861054
1.74,-0.8439076241
1.75,-0.8413486313
1.76,-0.838809197
1.77,-0.8362893836
1.78,-0.8337892458
1.79,-0.8313088313
1.8,-0.8288481804
1.81,-0.8264073267
1.82,-0.823986297
1.83,-0.8215851118
1.84,-0.8192037849
1.85,-0.8168423242
1.86,-0.8145007315
1.87,-0.8121790028
1.88,-0.8098771284
1.89,-0.8075950931
1.9,-0.8053328763
1.91,-0.8030904524
1.92,-0.8008677904
1.93,-0.7986648548
1.94,-0.7964816052
1.95,-0.7943179963
1.96,-0.7921739789
1.97,-0.7900494989
1.98,-0.7879444986
1.99,-0.7858589157
2.0,-0.7837926844
2.01,-0.781745735
2.02,-0.7797179942
2.03,-0.777709385
2.04,-0.7757198274
2.05,-0.7737492379
2.06,-0.7717975298
2.07,-0.7698646138
2.08,-0.7679503974
2.09,-0.7660547855
2.1,-0.7641776803
2.11,-0.7623189818
2.12,-0.7604785872
2.13,-0.7586563919
2.14,-0.7568522887
2.15,-0.7550661688
2.16,-0.7532979213
2.17,-0.7515474335
2.18,-0.7498145911
2.19,-0.7480992781
2.2,-0.7464013772
2.21,-0.7447207695
2.22,-0.7430573351
2.23,-0.7414109526
2.24,-0.7397814999
2.25,-0.7381688537
2.26,-0.7365728897
2.27,-0.734993483
2.28,-0.733430508
2.29,-0.7318838383
2.3,-0.730353347
2.31,-0.7288389068
2.32,-0.7273403899
2.33,-0.7258576682
2.34,-0.7243906133
2.35,-0.7229390968
2.36,-0.72150299
2.37,-0.720082164
2.38,-0.7186764903
2.39,-0.71728584
2.4,-0.7159100845
2.41,-0.7145490955
2.42,-0.7132027446
2.43,-0.7118709039
2.44,-0.7105534457
2.45,-0.7092502425
2.46,-0.7079611674
2.47,-0.7066860938
2.48,-0.7054248954
2.49,-0.7041774466
2.5,-0.7029436223
2.51,-0.7017232976
2.52,-0.7005163485
2.53,-0.6993226515
2.54,-0.6981420836
2.55,-0.6969745225
2.56,-0.6958198465
2.57,-0.6946779345
2.58,-0.6935486661
2.59,-0.6924319217
2.6,-0.6913275822
2.61,-0.6902355293
2.62,-0.6891556454
2.63,-0.6880878135
2.64,-0.6870319176
2.65,-0.685987842
2.66,-0.6849554721
2.67,-0.6839346939
2.68,-0.6829253941
2.69,-0.6819274601
2.7,-0.6809407802
2.71,-0.6799652433
2.72,-0.679000739
2.73,-0.6780471577
2.74,-0.6771043905
2.75,-0.6761723294
2.76,-0.6752508667
2.77,-0.6743398959
2.78,-0.6734393109
2.79,-0.6725490065
2.8,-0.671668878
2.81,-0.6707988215
2.82,-0.669938734
2.83,-0.6690885128
2.84,-0.6682480563
2.85,-0.6674172633
2.86,-0.6665960332
2.87,-0.6657842665
2.88,-0.664981864
2.89,-0.6641887273
2.9,-0.6634047585
2.91,-0.6626298607
2.92,-0.6618639372
2.93,-0.6611068925
2.94,-0.6603586311
2.95,-0.6596190588
2.96,-0.6588880814
2.97,-0.6581656059
2.98,-0.6574515395
2.99,-0.6567457903
3.0,-0.6560482668
