Bond_length_ang,STO-5G_Energy
0.5,-2.6622152809
0.51,-2.6795447163
0.52,-2.6956618456
0.53,-2.7106509808
0.54,-2.7245899199
0.55,-2.7375505291
0.56,-2.749599265
0.57,-2.7607976433
0.58,-2.7712026606
0.59,-2.7808671748
0.6,-2.7898402484
0.61,-2.7981674585
0.62,-2.8058911788
0.63,-2.8130508342
0.64,-2.8196831326
0.65,-2.8258222759
0.66,-2.8315001516
0.67,-2.8367465082
0.68,-2.841589115
0.69,-2.8460539084
0.7,-2.8501651254
0.71,-2.853945427
0.72,-2.8574160116
0.73,-2.860596713
0.74,-2.8635061045
0.75,-2.8661615809
0.76,-2.8685794404
0.77,-2.87077496
0.78,-2.8727624641
0.79,-2.8745553884
0.8,-2.8761663391
0.81,-2.8776071478
0.82,-2.8788889221
0.83,-2.8800220927
0.84,-2.8810164573
0.85,-2.8818812213
0.86,-2.8826250353
0.87,-2.8832560303
0.88,-2.8837818507
0.89,-2.8842096843
0.9,-2.8845462908
0.91,-2.8847980281
0.92,-2.8849708772
0.93,-2.8850704648
0.94,-2.8851020847
0.95,-2.8850707199
0.96,-2.8849810539
0.97,-2.8848374984
0.98,-2.8846442034
0.99,-2.8844050733
1.0,-2.884123782
1.01,-2.8838037855
1.02,-2.883448335
1.03,-2.8830604884
1.04,-2.8826431213
1.05,-2.8821989374
1.06,-2.8817304784
1.07,-2.8812401327
1.08,-2.8807301446
1.09,-2.8802026217
1.1,-2.8796595431
1.11,-2.8791027663
1.12,-2.878534034
1.13,-2.8779549803
1.14,-2.8773671393
1.15,-2.8767719417
1.16,-2.8761707331
1.17,-2.8755647707
1.18,-2.8749552299
1.19,-2.8743432092
1.2,-2.8737297337
1.21,-2.87311576
1.22,-2.8725021793
1.23,-2.8718898212
1.24,-2.871279457
1.25,-2.8706718029
1.26,-2.8700675232
1.27,-2.8694672326
1.28,-2.8688714994
1.29,-2.8682808478
1.3,-2.8676957602
1.31,-2.8671166796
1.32,-2.8665440146
1.33,-2.8659781301
1.34,-2.8654193657
1.35,-2.8648680268
1.36,-2.8643243888
1.37,-2.863788699
1.38,-2.8632611778
1.39,-2.8627420205
1.4,-2.8622313982
1.41,-2.8617294598
1.42,-2.8612363324
1.43,-2.8607521234
1.44,-2.8602769209
1.45,-2.8598107951
1.46,-2.8593537993
1.47,-2.8589059708
1.48,-2.8584673321
1.49,-2.8580378913
1.5,-2.8576176436
1.51,-2.8572065713
1.52,-2.8568046485
1.53,-2.8564118292
1.54,-2.8560280662
1.55,-2.8556532997
1.56,-2.8552874613
1.57,-2.8549304743
1.58,-2.8545822542
1.59,-2.8542427097
1.6,-2.8539117431
1.61,-2.8535892506
1.62,-2.8532751229
1.63,-2.852969246
1.64,-2.8526715014
1.65,-2.8523817663
1.66,-2.8520999146
1.67,-2.8518258169
1.68,-2.8515593409
1.69,-2.8513003521
1.7,-2.8510487137
1.71,-2.8508042871
1.72,-2.8505669326
1.73,-2.850336509
1.74,-2.8501128744
1.75,-2.8498958863
1.76,-2.8496854019
1.77,-2.8494812783
1.78,-2.8492833728
1.79,-2.8490915429
1.8,-2.8489056467
1.81,-2.848725543
1.82,-2.8485510916
1.83,-2.8483821533
1.84,-2.8482185901
1.85,-2.8480602654
1.86,-2.8479070438
1.87,-2.847758792
1.88,-2.8476153778
1.89,-2.8474766712
1.9,-2.8473425439
1.91,-2.8472128696
1.92,-2.8470875241
1.93,-2.8469663849
1.94,-2.8468493322
1.95,-2.8467362479
1.96,-2.8466270163
1.97,-2.8465215241
1.98,-2.84641966
1.99,-2.8463213151
2.0,-2.8462263829
2.01,-2.8461347592
2.02,-2.846046342
2.03,-2.8459610318
2.04,-2.8458787312
2.05,-2.8457993422
2.06,-2.8457227787
2.07,-2.8456489471
2.08,-2.8455777593
2.09,-2.8455091295
2.1,-2.8454429742
2.11,-2.8453792121
2.12,-2.8453177641
2.13,-2.8452585531
2.14,-2.8452015044
2.15,-2.8451465451
2.16,-2.8450936046
2.17,-2.8450426143
2.18,-2.8449935075
2.19,-2.8449462196
2.2,-2.8449006876
2.21,-2.8448568507
2.22,-2.84481465
2.23,-2.8447740281
2.24,-2.8447349295
2.25,-2.8446973005
2.26,-2.8446610891
2.27,-2.8446262448
2.28,-2.8445927155
2.29,-2.8445604608
2.3,-2.8445294314
2.31,-2.8444995831
2.32,-2.8444708732
2.33,-2.8444432603
2.34,-2.8444167043
2.35,-2.8443911668
2.36,-2.8443666103
2.37,-2.8443429987
2.38,-2.8443202972
2.39,-2.8442984721
2.4,-2.8442774909
2.41,-2.8442573222
2.42,-2.8442379358
2.43,-2.8442193024
2.44,-2.8442013938
2.45,-2.8441841827
2.46,-2.844167643
2.47,-2.8441517493
2.48,-2.8441364739
2.49,-2.8441217999
2.5,-2.8441077013
2.51,-2.8440941562
2.52,-2.8440811434
2.53,-2.8440686426
2.54,-2.8440566342
2.55,-2.8440450995
2.56,-2.8440340201
2.57,-2.8440233786
2.58,-2.8440131581
2.59,-2.8440033424
2.6,-2.8439939158
2.61,-2.8439848633
2.62,-2.8439761704
2.63,-2.8439678231
2.64,-2.843959808
2.65,-2.8439521121
2.66,-2.8439447231
2.67,-2.843937629
2.68,-2.8439308151
2.69,-2.8439242767
2.7,-2.8439179998
2.71,-2.8439119743
2.72,-2.8439061902
2.73,-2.843900638
2.74,-2.8438953087
2.75,-2.8438901934
2.76,-2.8438852837
2.77,-2.8438805715
2.78,-2.843876049
2.79,-2.8438717086
2.8,-2.8438675432
2.81,-2.8438635459
2.82,-2.8438597098
2.83,-2.8438560288
2.84,-2.8438524965
2.85,-2.8438491071
2.86,-2.8438458548
2.87,-2.8438427343
2.88,-2.8438397372
2.89,-2.8438368647
2.9,-2.8438341087
2.91,-2.8438314646
2.92,-2.8438289279
2.93,-2.8438264943
2.94,-2.8438241597
2.95,-2.8438219201
2.96,-2.8438197717
2.97,-2.8438177108
2.98,-2.8438157339
2.99,-2.8438138376
3.0,-2.8438120187
